@relation myInstances

@attribute f0 numeric
@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute label {other,fall}

@data
15.426312,15.426312,15.426312,-0.299284,-0.299284,-0.299284,3.960264,0.694606,7.177983,16.608007,11.337257,12.650732,4.075292,3.367084,3.556787,0.815956,1.233537,5.019045,-1.312909,-4.409636,-0.112223,-0.270407,-0.957331,0.866139,0.326047,2.671416,2.566368,0.571005,1.634447,1.601989,other
13.577932,13.577932,13.577932,-8.705584,-8.705584,-8.705584,1.514172,-9.132177,-1.098091,19.376211,16.645922,15.319452,4.401842,4.079941,3.914007,1.83549,0.816927,1.903632,-2.165677,-2.530003,-1.005919,0.283709,-0.22075,0.475979,1.682134,0.972316,0.778948,1.296971,0.986061,0.88258,other
5.480495,5.480495,5.480495,-6.459754,-6.459754,-6.459754,-0.498594,-10.102882,-0.403063,5.952106,4.735525,8.840917,2.439694,2.176126,2.973368,0.843445,0.482173,0.353256,-2.137578,-2.486021,-1.778664,-0.087636,-0.751836,-0.095669,1.485616,0.83487,0.399518,1.218859,0.913712,0.632074,other
4.221107,4.221107,4.221107,-7.357606,-7.357606,-7.357606,-0.685454,-9.653743,-1.260054,5.324644,7.701976,13.59548,2.307519,2.775243,3.687205,1.271051,0.889009,0.330654,-2.686745,-1.615538,-1.23255,0.188231,-0.142376,-0.096035,1.679331,0.543918,0.233208,1.29589,0.737508,0.482917,other
3.931399,3.931399,3.931399,-4.709538,-4.709538,-4.709538,-0.249058,-9.963402,-0.726982,3.169414,5.205921,10.778183,1.780285,2.281649,3.283014,1.104895,0.761949,0.2433,-2.754551,-0.761549,-0.652839,-0.119279,0.200564,-0.02658,2.190057,0.272326,0.077337,1.479884,0.521848,0.278094,other
4.62095,4.62095,4.62095,-6.466936,-6.466936,-6.466936,-0.664341,-9.529953,-0.646665,3.621551,9.789742,11.27622,1.903037,3.128856,3.358008,2.190403,0.630613,0.326378,-2.131469,-0.848291,-0.789673,0.122563,0.154871,-0.122852,1.945183,0.192953,0.168319,1.394698,0.439264,0.410267,other
1.951334,1.951334,1.951334,-5.573872,-5.573872,-5.573872,-1.412412,-9.595885,-0.199383,2.130758,0.925054,1.954895,1.459712,0.961797,1.398176,0.990052,1.47544,0.332487,-1.853525,-0.714512,-0.026091,-0.03559,0.384312,0.064378,0.546663,0.448859,0.011322,0.739367,0.669969,0.106404,other
0.483644,0.483644,0.483644,-5.676826,-5.676826,-5.676826,-1.582882,-9.418434,-1.549938,1.3402,1.021548,3.444448,1.15767,1.010717,1.855922,0.765865,1.459558,0.929913,-0.690438,0.151084,-0.428651,0.005643,0.611371,0.098159,0.242258,0.171342,0.15132,0.492198,0.413935,0.388999,other
6.517216,6.517216,6.517216,-8.370385,-8.370385,-8.370385,-0.836315,-9.232375,-2.630467,6.256801,4.999613,10.591603,2.50136,2.235982,3.254474,1.624741,1.789425,0.345315,-0.76252,-1.380966,-2.343714,0.306433,0.158659,-0.449115,0.473228,1.265528,0.695167,0.687916,1.124957,0.833766,other
6.251451,6.251451,6.251451,-7.16367,-7.16367,-7.16367,-0.205854,-9.850233,-0.701682,5.703221,5.158537,6.205108,2.388142,2.271241,2.491005,1.946057,1.448562,0.721608,-2.355656,-1.451216,-1.094495,0.024885,0.238438,0.060835,2.49409,0.644489,0.223477,1.579269,0.802801,0.472733,other
15.704048,15.704048,15.704048,-7.62816,-7.62816,-7.62816,1.459843,-9.351426,-0.727221,22.157478,9.040205,13.439302,4.707173,3.006693,3.665965,1.9485,3.029481,0.666019,-2.037396,-1.698005,-5.335121,-0.196003,1.124559,-0.878248,1.650606,1.650182,3.252299,1.284759,1.284594,1.803413,other
12.51248,12.51248,12.51248,-1.561067,-1.561067,-1.561067,1.998634,1.114003,8.119917,7.791157,6.947877,13.191767,2.791264,2.635883,3.632047,1.337024,3.260388,0.286672,-1.211506,-0.622882,-5.820759,-0.138277,0.447781,-1.26065,0.770876,1.206504,3.741025,0.877996,1.09841,1.934173,other
2.75581,2.75581,2.75581,-0.275342,-0.275342,-0.275342,1.159963,3.394048,8.950732,0.342279,0.924545,0.744367,0.585046,0.961533,0.862767,0.118959,0.350226,0.286672,-0.154709,-0.05661,-0.052358,-0.052328,0.037341,0.145012,0.012363,0.013855,0.022732,0.11119,0.117707,0.150771,other
2.650462,2.650462,2.650462,-1.94894,-1.94894,-1.94894,0.707778,2.832936,9.199492,0.838729,0.267433,0.4341,0.915822,0.517139,0.658863,0.197149,0.177962,0.303776,-0.130274,-0.862341,-0.182473,-0.004008,-0.125027,0.081788,0.008633,0.119421,0.018807,0.092913,0.345574,0.137139,other
